Tweet ID,Tweet,Class,Stance,Class,Stance,Class,Stance
118401,Co: @Julius_S_Malema @EFFSouthAfrica @SABCNews @eNCA @KhuselaS we need urgent intervention. Some of us are more worried about what we are going to catch here than covid-19,Concern- hospitals,Favor,Concern- you and your family,Favor,,
129706,"Our life is the best teacher we'd ever have. Once you consider it, a lot of things change and evolve, starting by yourself. At the end, any improvement begins with « I ». #emotionalagility #softskills #empathy #agility #resilientleadership #covid19 https://t.co/R9lvtindyQ",NONE,None,,,,
222677,Debunking fake news: https://t.co/0U1SxzDYs8,Misinformation,Against,,,,
500850,"@BaptistDancing @ACTBrigitte Remember the wall he wanted to build at the mexican border and the Mexicans he wanted to make pay for it? 
Unemployment in the US is now higher than under the Obama Administration and 238000+ Americans are dead because he lied about Corona.  #WorstPresidentEver",Trust in government,Against,Concern - the economy,Favor,,
367389,How is this news when there were men and women in Asia that had it 3 times by the time we had even heard of it? https://t.co/SJHhnpen9X,NONE,None,,,,
103589,"Survey: UK consumer sentiment during the coronavirus crisis UK consumers are still worried about the impact of the COVID-19 crisis, but less so https://t.co/si2CPaJ3K1",Concern - the economy,Favor,,,,
190621,Scientists Say Reusables Are Safe to Use During COVID-19 https://t.co/IjONCRBZzq #reusable,Trust in scientists,None,,,,
477672,"Censorship of Science? 
#Agenda2030
#Covid_19 
#MasksSaveLives
#MasksDontWork 
#maskeauf https://t.co/82VqjiWd7y",Trust in scientists,Against,,,,
422193,UK: Tensions rise as coronavirus sceptics protest in London https://t.co/czP1NKM6D3 via @YouTube,Support of public protests,None,,,,
457998,"@KirchnerArctic And more: I think general fatigue with the restrictions (understandably from my perspective), as well as up until basically now, protective measures were still being lifted further and further...",Fatigue,Favor,,,,
96289,Two more Dorset schools have confirmed cases of coronavirus as children and staff added to self-isolate https://t.co/7m5vaE5YS1,NONE,None,,,,
312761,"@MarkChangizi @Charley2021 @ScottAdamsSays Scott panicked back in March, and has never really come back to reality regarding covid. He went from fully believing the Ferguson's to saying that all data is wrong in 2020.",NONE,None,,,,
503873,I’m pretty sure it was covid that killed them but your conspiracy theory sounds fun. https://t.co/E7LSM6IOIM,Conspiracy beliefs,Favor,,,,
495908,"@realDonaldTrump Nope, the mail voters are people who see the dangers of covid and therefor vote by mail, and these people think you mismanaged covid and therefor vote biden, makes total sense 🤷‍♂️. It‘s your own fault 😅",Political ideology,Against,Democratic rights,Against,Vote choice (government),Against
503268,My immune system when I finally get injected with a coronavirus vaccine https://t.co/tzDZgyR1KY,Vaccine,Favor,,,,
416631,@DonaldJTrumpJr 400.000 dead in covid. He didn’t need a war. 400.000! That means that every fifth dead in the whole world was an American.  20 % of all dead.,Trust in government,Against,,,,
318175,"Comforting to know that as we do our best to contain the #coronavirus #COVID2019 OUR scientists👩🏼‍🔬👨🏽‍🔬at the @NIH 🇺🇸&amp; worldwide 🌎are racing to create a #vaccine against the new strain of coronavirus. However, a vaccine💉is probably more than1️⃣year away. https://t.co/NWGG0yD5Uc https://t.co/dcXiMT5wEY",Trust in scientists,Favor,Vaccine,Favor,,
255608,Why Coronavirus May Change How Americans Vote https://t.co/gJXLuHY4kp via @YouTube,Behaviour change,None,,,,
381280,"#TrumpKnew all along that COVID can be lethal ☠️. He lied and 1️⃣9️⃣4️⃣0️⃣0️⃣0️⃣ Americans died. 
Now he’s doing his best to increase the death toll in Florida and Nevada. 
Don’t let him get away with it. 
#VoteHimOut https://t.co/wn55TzmdfI",Trust in government,Against,,,,
355338,W H A T https://t.co/F2C7LEsqfY https://t.co/1V1z4F4O0u,NONE,,,,,
408143,"I don't toot because post-covid tiredness. God, I can't remember ever being this tired.",Fatigue,Favor,,,,
38918,"More people trust companies than their governments to keep economies going during the coronavirus crisis, a Milken Institute survey says https://t.co/f9CU98g8jT via @bpolitics",Trust in government,Against,,,,
424799,"You see what happens? Germany has very massive protests against the corona measures. When Italian protesters forced the country open, German press did not mention it. Now Italian press doesent write about Germany's protests. The press is playing countries against each other.",Support of public protests,Favor,,,,
